,fpr_logr,tpr_logr,thresholds_logr
112,0.0043436754176610975,0.15563415866599292,0.02
113,0.004391408114558472,0.15563415866599292,0.02
114,0.004391408114558472,0.15765538150581102,0.02
115,0.004439140811455847,0.15765538150581102,0.02
116,0.004439140811455847,0.15917129863567459,0.02
117,0.004486873508353222,0.15917129863567459,0.02
118,0.004486873508353222,0.16068721576553815,0.02
119,0.004534606205250597,0.16068721576553815,0.02
120,0.004534606205250597,0.16270843860535625,0.02
121,0.004582338902147971,0.16270843860535625,0.02
122,0.004582338902147971,0.1637190500252653,0.02
123,0.004630071599045346,0.1637190500252653,0.02
124,0.004630071599045346,0.1662455785750379,0.02
125,0.004677804295942721,0.1662455785750379,0.02
126,0.004677804295942721,0.1667508842849924,0.02
127,0.0047255369928400955,0.1667508842849924,0.02
128,0.0047255369928400955,0.16725618999494693,0.02
